City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,53.87,79,100,6.35,overcast clouds
1,Surt,LY,31.2089,16.5887,77.67,70,16,17.2,few clouds
2,Hermanus,ZA,-34.4187,19.2345,68.9,66,8,6.02,clear sky
3,Longyearbyen,SJ,78.2186,15.6401,21.04,73,20,8.05,few clouds
4,New Norfolk,AU,-42.7826,147.0587,47.7,65,41,1.99,scattered clouds
5,Dudinka,RU,69.4058,86.1778,18.64,84,96,16.46,overcast clouds
6,Half Moon Bay,US,37.4636,-122.4286,60.1,78,40,0.0,scattered clouds
7,Mbaiki,CF,3.8678,17.9892,79.34,80,89,2.66,light rain
8,Ribeira Grande,PT,38.5167,-28.7,73.8,73,40,18.41,scattered clouds
9,Hasaki,JP,35.7333,140.8333,68.4,86,36,6.93,scattered clouds
10,Kapaa,US,22.0752,-159.319,75.52,75,90,5.01,light rain
11,Trojes,AL,41.756,19.962,61.29,82,75,8.23,broken clouds
12,Taoudenni,ML,22.6783,-3.9836,105.1,6,68,1.95,broken clouds
13,Kavieng,PG,-2.5744,150.7967,80.94,80,99,8.43,light rain
14,Utinga,BR,-5.8172,-35.3954,88.65,58,75,18.41,broken clouds
15,Busselton,AU,-33.65,115.3333,46.09,80,2,9.48,clear sky
16,Cape Town,ZA,-33.9258,18.4232,69.12,46,20,17.27,few clouds
17,Dyersburg,US,36.0345,-89.3856,81.37,69,1,4.61,clear sky
18,Mataura,NZ,-46.1927,168.8643,42.48,97,35,3.06,scattered clouds
19,Tuatapere,NZ,-46.1333,167.6833,42.82,91,11,4.59,few clouds
20,Port Shepstone,ZA,-30.7414,30.455,67.23,77,21,27.83,few clouds
21,Port Blair,IN,11.6667,92.75,79.83,85,99,15.03,overcast clouds
22,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,66,22,9.57,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,57.31,47,40,17.27,scattered clouds
24,Qaanaaq,GL,77.484,-69.3632,25.32,94,100,11.39,light snow
25,Balykshi,KZ,47.0667,51.8667,46.4,39,0,6.71,clear sky
26,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,75,9.22,broken clouds
27,Albany,US,42.6001,-73.9662,65.8,74,100,4.0,overcast clouds
28,Hashtrud,IR,37.4779,47.0508,51.12,46,0,5.53,clear sky
29,Anadyr,RU,64.75,177.4833,25.3,100,40,4.0,light snow
30,Cockburn Town,TC,21.4612,-71.1419,82.98,73,92,13.09,overcast clouds
31,Armidale,AU,-30.5167,151.65,51.91,69,0,3.4,clear sky
32,Ushuaia,AR,-54.8,-68.3,46.06,61,75,14.97,light rain
33,Lebu,CL,-37.6167,-73.65,58.68,70,10,10.27,clear sky
34,Halifax,CA,44.6453,-63.5724,57.0,57,2,1.01,clear sky
35,Bluff,NZ,-46.6,168.3333,42.8,91,54,9.17,broken clouds
36,Ballina,AU,-28.8667,153.5667,68.18,88,0,6.91,clear sky
37,Nerchinskiy Zavod,RU,51.3088,119.61,35.06,97,100,16.53,moderate rain
38,Sol-Iletsk,RU,51.1631,54.9918,47.1,38,0,7.11,clear sky
39,Coahuayana,MX,18.7333,-103.6833,86.09,74,70,0.72,broken clouds
40,Sitka,US,57.0531,-135.33,44.94,85,99,12.24,moderate rain
41,Cervo,ES,43.6702,-7.4101,68.2,81,67,13.94,broken clouds
42,Yellowknife,CA,62.456,-114.3525,42.42,100,90,1.01,overcast clouds
43,Olafsvik,IS,64.8945,-23.7142,42.71,85,90,22.26,overcast clouds
44,Kodiak,US,57.79,-152.4072,47.71,49,75,10.36,broken clouds
45,Bethel,US,41.3712,-73.414,66.69,76,90,1.99,overcast clouds
46,Bodden Town,KY,19.2833,-81.25,87.93,76,20,1.99,few clouds
47,Yumen,CN,40.2833,97.2,39.11,18,0,5.75,clear sky
48,Westport,US,41.1415,-73.3579,69.1,72,90,1.01,overcast clouds
49,Esperance,AU,-33.8667,121.9,48.04,62,95,6.93,overcast clouds
50,Vanimo,PG,-2.6741,141.3028,79.25,89,41,7.58,scattered clouds
51,Ankpa,NG,7.3706,7.6253,81.46,81,98,2.44,moderate rain
52,Jamestown,US,42.097,-79.2353,65.52,96,90,10.0,mist
53,Lifford,IE,54.8319,-7.4836,60.71,77,26,7.61,scattered clouds
54,Yunhe,CN,34.0833,119.7167,72.18,96,9,5.03,light rain
55,Griffith,US,41.5284,-87.4237,76.89,70,1,1.99,clear sky
56,San Patricio,US,28.017,-97.5169,83.93,55,26,7.87,scattered clouds
57,Derzhavinsk,KZ,51.1,66.3167,46.62,42,0,6.13,clear sky
58,Tiksi,RU,71.6872,128.8694,22.84,82,99,7.9,overcast clouds
59,Shenjiamen,CN,29.9576,122.298,77.86,87,8,12.33,clear sky
60,Yar-Sale,RU,66.8333,70.8333,28.54,72,65,14.25,broken clouds
61,Abdanan,IR,32.9926,47.4198,76.26,7,0,7.43,clear sky
62,Butaritari,KI,3.0707,172.7902,81.52,67,79,14.58,broken clouds
63,Kaitangata,NZ,-46.2817,169.8464,41.47,95,44,4.27,scattered clouds
64,Vaini,TO,-21.2,-175.2,68.16,100,75,6.91,thunderstorm
65,Tomatlan,MX,19.9333,-105.25,84.65,73,100,3.13,overcast clouds
66,Dikson,RU,73.5069,80.5464,30.27,63,100,21.54,light snow
67,Castro,BR,-24.7911,-50.0119,57.13,98,100,4.7,light rain
68,Orlik,RU,52.5178,99.825,25.61,80,75,5.03,broken clouds
69,Puerto Ayora,EC,-0.7393,-90.3518,73.36,81,98,11.7,overcast clouds
70,Codrington,AU,-38.2667,141.9667,46.27,75,98,6.73,overcast clouds
71,Mikuni,JP,36.2171,136.1519,67.91,83,6,8.68,clear sky
72,Airai,TL,-8.9266,125.4092,58.77,76,57,1.61,broken clouds
73,Tasiilaq,GL,65.6145,-37.6368,35.76,71,80,7.02,broken clouds
74,Hobart,AU,-42.8794,147.3294,48.06,70,40,1.01,scattered clouds
75,Yairipok,IN,24.6667,94.0667,68.74,96,1,1.7,clear sky
76,Plettenberg Bay,ZA,-34.0527,23.3716,61.03,66,45,9.64,scattered clouds
77,Khatanga,RU,71.9667,102.5,16.59,96,100,3.33,overcast clouds
78,Hilo,US,19.7297,-155.09,74.28,94,90,4.61,moderate rain
79,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,75,20,16.11,few clouds
80,Svetlaya,RU,46.5389,138.3297,52.14,78,100,13.47,overcast clouds
81,Amapa,BR,1.0,-52.0,96.13,35,55,3.15,broken clouds
82,Sakakah,SA,29.9697,40.2064,96.37,14,0,9.01,clear sky
83,Erenhot,CN,43.6475,111.9767,41.54,59,78,11.21,broken clouds
84,Tigil,RU,57.8,158.6667,32.22,96,100,4.03,overcast clouds
85,Georgetown,MY,5.4112,100.3354,82.35,88,20,3.0,few clouds
86,Mount Isa,AU,-20.7333,139.5,83.97,32,82,3.44,broken clouds
87,Rikitea,PF,-23.1203,-134.9692,73.98,81,8,16.93,light rain
88,Atuona,PF,-9.8,-139.0333,77.72,71,14,19.06,few clouds
89,Cabo Rojo,PR,18.0866,-67.1457,91.26,66,2,7.0,clear sky
90,Mattru,SL,7.6244,-11.8332,80.06,82,89,7.9,light rain
91,Faanui,PF,-16.4833,-151.75,77.59,72,11,6.22,few clouds
92,Solntsevo,RU,51.4185,36.7499,44.94,45,73,7.4,broken clouds
93,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,75,100,8.21,overcast clouds
94,Mar Del Plata,AR,-38.0023,-57.5575,62.01,64,0,11.99,clear sky
95,Severo-Kurilsk,RU,50.6789,156.125,43.3,80,39,10.83,scattered clouds
96,Port Elizabeth,ZA,-33.918,25.5701,67.1,59,20,26.46,few clouds
97,Kabansk,RU,52.0486,106.6528,30.69,83,47,5.19,scattered clouds
98,Pangnirtung,CA,66.1451,-65.7125,33.8,100,90,0.0,fog
99,Aksarka,RU,66.5606,67.7975,30.81,76,94,8.28,overcast clouds
100,Wewak,PG,-3.5534,143.6268,80.11,85,59,6.13,broken clouds
101,Barrow,US,71.2906,-156.7887,30.22,69,90,11.5,overcast clouds
102,Flin Flon,CA,54.7682,-101.865,46.24,87,75,6.91,smoke
103,Saskylakh,RU,71.9167,114.0833,10.62,100,100,2.66,overcast clouds
104,Alta Floresta,BR,-9.8756,-56.0861,91.22,58,40,8.05,scattered clouds
105,Lanzhou,CN,36.0564,103.7922,40.28,62,100,3.6,light rain
106,Geilo,NO,60.5333,8.2076,57.47,80,86,8.7,overcast clouds
107,Aripuana,BR,-9.1667,-60.6333,97.23,36,99,3.31,overcast clouds
108,Avera,US,33.194,-82.5271,73.9,78,43,12.26,scattered clouds
109,Avarua,CK,-21.2078,-159.775,66.25,94,98,1.14,overcast clouds
110,Muros,ES,42.7762,-9.0603,75.69,55,100,12.21,overcast clouds
111,Padang,ID,-0.9492,100.3543,77.05,88,39,2.42,scattered clouds
112,Warmbad,NA,-28.45,18.7333,77.11,18,17,12.84,few clouds
113,Minab,IR,27.1467,57.0801,90.9,51,0,3.91,clear sky
114,Kouqian,CN,43.6391,126.4578,60.96,95,100,10.8,light rain
115,Anchorage,US,61.2181,-149.9003,42.84,91,90,3.0,moderate rain
116,Nadym,RU,65.5333,72.5167,30.63,73,100,19.84,overcast clouds
117,Cheremukhovo,RU,60.3484,59.9851,35.49,76,100,5.82,overcast clouds
118,Tiznit,MA,29.5833,-9.5,79.7,37,93,8.12,overcast clouds
119,Ketchikan,US,55.3422,-131.6461,46.38,87,75,4.61,light rain
120,Korla,CN,41.7597,86.1469,47.57,38,1,4.23,clear sky
121,Husavik,IS,66.0449,-17.3389,42.71,91,100,8.43,overcast clouds
122,Sunndalsora,NO,62.6754,8.5515,59.05,83,100,5.68,overcast clouds
123,Ilulissat,GL,69.2167,-51.1,28.42,37,75,11.5,broken clouds
124,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,55,14.5,light rain
125,Margate,GB,51.3813,1.3862,63.88,76,66,1.99,broken clouds
126,Ucluelet,CA,48.9329,-125.5528,52.11,89,100,1.01,overcast clouds
127,Montenegro,ME,42.5,19.3,55.08,82,100,9.22,overcast clouds
128,Mount Gambier,AU,-37.8333,140.7667,42.71,87,90,8.05,overcast clouds
129,Port Alfred,ZA,-33.5906,26.891,64.31,71,1,21.83,clear sky
130,Kostomuksha,RU,64.571,30.5767,47.46,92,100,5.93,overcast clouds
131,Oussouye,SN,12.485,-16.5469,91.58,63,99,9.6,overcast clouds
132,Acapulco,MX,16.8634,-99.8901,84.02,68,89,2.89,overcast clouds
133,Seoul,KR,37.5683,126.9778,71.04,94,0,2.3,clear sky
134,Zhangjiakou,CN,40.81,114.8794,46.76,44,44,12.3,scattered clouds
135,Port Hedland,AU,-20.3167,118.5667,69.85,83,0,6.91,clear sky
136,Saint Marys,US,30.7305,-81.5465,82.06,80,75,10.0,broken clouds
137,Izhevskoye,RU,54.5567,40.8703,42.76,66,2,5.39,clear sky
138,Bredasdorp,ZA,-34.5322,20.0403,65.52,52,16,12.66,few clouds
139,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,20,11.5,few clouds
140,Gonzales,US,30.2385,-90.9201,84.02,65,1,0.0,clear sky
141,Honiara,SB,-9.4333,159.95,77.25,89,98,0.67,overcast clouds
142,Grand Gaube,MU,-20.0064,57.6608,73.8,75,13,8.99,few clouds
143,Coos Bay,US,43.3665,-124.2179,52.95,100,75,10.36,broken clouds
144,Paka,MY,4.6374,103.4368,80.53,94,87,0.0,overcast clouds
145,Cherskiy,RU,68.75,161.3,-0.26,100,96,4.09,overcast clouds
146,Richards Bay,ZA,-28.783,32.0377,68.85,82,56,18.75,light rain
147,Sur,OM,22.5667,59.5289,84.79,52,0,2.71,clear sky
148,Ostrovnoy,RU,68.0531,39.5131,36.86,81,95,11.97,overcast clouds
149,Upernavik,GL,72.7868,-56.1549,30.72,52,100,11.65,overcast clouds
150,Koboko,UG,3.4136,30.9599,64.6,92,88,5.77,light rain
151,Carnarvon,AU,-24.8667,113.6333,64.47,72,0,19.57,clear sky
152,Iracoubo,GF,5.4802,-53.2011,87.21,63,100,11.05,overcast clouds
153,Cedar City,US,37.6775,-113.0619,50.4,78,1,0.0,clear sky
154,Thompson,CA,55.7435,-97.8558,32.16,100,90,2.3,fog
155,Talcahuano,CL,-36.7167,-73.1167,55.08,82,40,12.66,scattered clouds
156,Coquimbo,CL,-29.9533,-71.3436,60.53,63,20,8.05,few clouds
157,Jieshi,CN,22.8134,115.8257,79.95,83,100,24.38,moderate rain
158,Yulara,AU,-25.2406,130.9889,73.24,43,90,12.66,overcast clouds
159,Belaya Gora,RU,68.5333,146.4167,12.49,87,64,4.41,broken clouds
160,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,14.97,light rain
161,Kahului,US,20.8947,-156.47,75.22,90,75,10.36,light rain
162,Sabrum,IN,23.0,91.7319,76.82,96,2,1.28,clear sky
163,East London,ZA,-33.0153,27.9116,67.14,63,0,23.02,clear sky
164,Sao Tome,ST,0.3365,6.7273,79.12,84,100,4.68,moderate rain
165,Katsuura,JP,35.1333,140.3,71.19,85,34,7.23,scattered clouds
166,Ponta Do Sol,PT,32.6667,-17.1,78.71,68,23,1.59,few clouds
167,Porto Walter,BR,-8.2686,-72.7439,95.09,41,79,4.59,light rain
168,Evensk,RU,61.95,159.2333,24.87,61,22,5.73,few clouds
169,Ola,RU,59.5833,151.2833,31.75,63,0,4.92,clear sky
170,Basco,PH,20.4487,121.9702,83.5,79,36,24.11,scattered clouds
171,Bengkulu,ID,-3.8004,102.2655,77.85,90,42,5.32,scattered clouds
172,Constitucion,CL,-35.3333,-72.4167,59.23,67,1,6.04,clear sky
173,Powell,US,40.1578,-83.0752,75.76,86,90,1.01,mist
174,Hirara,JP,24.8,125.2833,82.65,80,17,22.46,few clouds
175,Vriezenveen,NL,52.4083,6.6222,62.44,68,6,4.83,clear sky
176,Ahuimanu,US,21.4447,-157.8378,76.75,70,75,18.41,broken clouds
177,Byron Bay,AU,-28.65,153.6167,69.06,89,1,14.09,clear sky
178,Campeche,MX,19.0,-90.5,88.52,55,99,2.75,overcast clouds
179,Axim,GH,4.8699,-2.2405,81.82,75,63,10.78,broken clouds
180,Manzanillo,CU,20.3433,-77.1167,87.51,59,65,3.76,broken clouds
181,Karwar,IN,14.8,74.1333,79.7,83,93,3.91,overcast clouds
182,Broken Hill,AU,-31.95,141.4333,58.71,82,90,25.32,overcast clouds
183,Morant Bay,JM,17.8815,-76.4093,89.22,67,16,7.85,few clouds
184,Leisure City,US,25.4954,-80.4292,88.02,75,20,0.0,few clouds
185,Bousso,TD,10.4795,16.7117,90.9,46,99,3.4,overcast clouds
186,Lompoc,US,34.6391,-120.4579,64.13,75,1,15.99,clear sky
187,Camocim,BR,-2.9022,-40.8411,87.39,59,88,15.08,overcast clouds
188,Bonavista,CA,48.6499,-53.1147,46.11,80,20,36.6,few clouds
189,Kontagora,NG,10.3999,5.4695,91.58,47,57,2.33,broken clouds
190,Chicama,PE,-7.8447,-79.1469,59.54,64,65,8.39,broken clouds
191,Nizwa,OM,22.9333,57.5333,92.16,21,0,5.84,clear sky
192,Kavaratti,IN,10.5669,72.642,82.81,78,100,11.7,overcast clouds
193,Cabo San Lucas,MX,22.8909,-109.9124,88.52,51,1,3.0,clear sky
194,Pevek,RU,69.7008,170.3133,23.81,92,100,2.28,overcast clouds
195,Saldanha,ZA,-33.0117,17.9442,61.86,74,0,17.29,clear sky
196,Pocone,BR,-16.2567,-56.6228,104.34,25,61,9.75,broken clouds
197,Gat,IL,31.61,34.7642,79.48,64,0,12.21,clear sky
198,Cidreira,BR,-30.1811,-50.2056,63.5,84,100,20.22,overcast clouds
199,Shitanjing,CN,39.2342,106.3439,39.96,27,50,10.65,scattered clouds
200,Lata,PT,40.1629,-8.3327,82.04,53,88,4.29,overcast clouds
201,Lubumbashi,CD,-11.6609,27.4794,84.02,23,24,3.06,few clouds
202,Jaworzno,PL,50.2053,19.275,50.88,68,2,1.01,clear sky
203,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,14.97,light rain
204,Chuy,UY,-33.6971,-53.4616,64.62,62,49,12.15,scattered clouds
205,Souillac,MU,-20.5167,57.5167,73.78,73,40,14.97,scattered clouds
206,Riyadh,SA,24.6877,46.7219,95.14,13,0,11.83,clear sky
207,Olinda,BR,-8.0089,-34.8553,83.93,65,40,14.97,scattered clouds
208,Payakumbuh,ID,-0.2202,100.6308,72.3,97,81,3.02,broken clouds
209,Casambalangan,PH,18.3765,122.1274,80.53,89,82,7.47,broken clouds
210,Lasa,IT,46.6166,10.7002,61.68,72,8,3.04,clear sky
211,Rocha,UY,-34.4833,-54.3333,65.66,55,32,11.68,scattered clouds
212,Crossville,US,35.949,-85.0269,73.53,83,1,0.0,clear sky
213,Vila Velha,BR,-20.3297,-40.2925,71.55,68,75,4.61,broken clouds
214,Babag,PH,7.7311,126.0708,75.7,80,100,1.74,overcast clouds
215,Alyangula,AU,-13.8483,136.4192,73.27,88,34,0.0,scattered clouds
216,Aklavik,CA,68.2191,-135.0107,32.0,80,75,4.61,broken clouds
217,Tual,ID,-5.6667,132.75,82.13,77,81,8.39,broken clouds
218,Agropoli,IT,40.3469,14.9966,72.28,62,25,6.62,scattered clouds
219,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.39,66,1,4.61,clear sky
220,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,93.16,46,88,2.55,overcast clouds
221,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,73,20,14.54,few clouds
222,San Javier,ES,37.8063,-0.8374,78.48,63,20,9.22,few clouds
223,Torbay,CA,47.6666,-52.7314,45.68,82,75,35.68,light rain
224,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,40,14.97,scattered clouds
225,Nome,US,64.5011,-165.4064,37.47,70,90,6.91,overcast clouds
226,Venezuela,VE,8.0,-66.0,89.17,56,55,6.76,broken clouds
227,San Cristobal,VE,7.7669,-72.225,77.18,41,19,3.8,few clouds
228,Catuday,PH,16.2923,119.8062,79.63,82,92,3.18,overcast clouds
229,Abrau-Dyurso,RU,44.69,37.59,54.86,61,97,9.06,overcast clouds
230,Aginskoye,RU,51.1,114.53,35.85,62,100,15.28,overcast clouds
